variant,wall_seconds_rep_1,wall_seconds_rep_2,wall_seconds_rep_3,wall_seconds_median,wall_seconds_minimum,wall_seconds_maximum,paired_slowdown_median,paired_slowdown_minimum,paired_slowdown_maximum,candidate_assignments_median,load_imbalance_factor_median,global_best_cost
no-snapshots,4119.0633730478585,4139.4232981591485,4312.864609810058,4139.4232981591485,4119.0633730478585,4312.864609810058,9.601364554994477,9.511170920067054,9.888759823350036,2724315159,0.4136003317572467,3575.5380640403023
baseline,433.0763696357608,431.1286457721144,436.1380685600452,433.0763696357608,431.1286457721144,436.1380685600452,1.0,1.0,1.0,2727248624,0.4927449175267464,3575.5380640403023
no-cost-pruning,11245.573018631898,11578.415685187094,11736.112112122122,11578.415685187094,11245.573018631898,11736.112112122122,26.856057463894903,25.9667204379911,26.909166977489733,35455425760,0.77507188611581,3575.5380640403023
no-pump-sorting,435.47241591801867,431.8558153100312,433.750993069727,433.750993069727,431.8558153100312,435.47241591801867,1.0016866648622118,0.9945267894219841,1.005532618379232,2727418672,0.48724278105945795,3575.5380640403023
no-task-shuffle,2527.119434702676,2548.8350606951863,2535.317483757157,2535.317483757157,2527.119434702676,2548.8350606951863,5.835274357795397,5.81310751461749,5.912005814715562,2851424950,7.012481439045267,3575.5380640403023
no-global-sync,444.9862748789601,443.5519285532646,438.73892491403967,443.5519285532646,438.73892491403967,444.9862748789601,1.0275007044443827,1.0059633784378912,1.0288157210219728,2746913804,0.5081482528798681,3575.5380640403023
