process_count,wall_seconds_rep_1,wall_seconds_rep_2,wall_seconds_rep_3,wall_seconds_median,wall_seconds_minimum,wall_seconds_maximum,paired_speedup_median,paired_speedup_minimum,paired_speedup_maximum,paired_parallel_efficiency_median,candidate_assignments_median,load_imbalance_factor_median,average_rank_seconds_median,maximum_rank_seconds_median,tasks_processed_per_point,global_best_cost
1,701.1869825609028,697.8377122520469,700.8537980630063,700.8537980630063,697.8377122520469,701.1869825609028,1.0,1.0,1.0,1.0,87153109,0.0,699.385214,699.385214,65536,3606.828628872831
2,353.6757090743631,356.53307116311044,355.1153433797881,355.1153433797881,353.6757090743631,356.53307116311044,1.9735948083590926,1.9572874683840842,1.9825703732836024,0.9867974041795463,87520112,0.00902912001357046,351.5221415,354.165251,65536,3606.828628872831
4,192.91224284190685,191.8947970471345,192.95357001386583,192.91224284190685,191.8947970471345,192.95357001386583,3.6347458939427253,3.6322406370228975,3.636564007937325,0.9086864734856813,87914786,0.0854715727573372,176.67152249999998,192.19283099999998,65536,3606.828628872831
8,111.90261384984478,111.24696346186101,111.81782712414861,111.81782712414861,111.24696346186101,111.90261384984478,6.267818075957292,6.266046506311125,6.272869753350956,0.7834772594946615,88419274,0.2485745971928981,88.9829405,111.210044,65536,3606.828628872831
16,62.06220621801913,63.233092876151204,62.28754651080817,62.28754651080817,62.06220621801913,63.233092876151204,11.251908885853991,11.035957289307941,11.298131750226442,0.7032443053658745,89784485,0.36233268299530524,45.264153,61.664835,65536,3606.828628872831
32,33.86267550615594,34.043193066027015,34.25278193736449,34.043193066027015,33.86267550615594,34.25278193736449,20.49859749931758,20.4612226634498,20.70678031431489,0.6405811718536744,91067726,0.4458298417802773,23.08506646875,33.377078,65536,3606.828628872831
64,24.435719514265656,24.385997417382896,24.441239164676517,24.435719514265656,24.385997417382896,24.441239164676517,28.675051757437444,28.616328473594123,28.69516414900521,0.44804768370996007,93629429,0.8773881012049566,12.53070421875,23.524995,65536,3606.828628872831
