np,wall_time,proc_min,proc_avg,proc_max,load_imbalance,total_tasks,speedup,efficiency
1,901.428995,901.3939589999702,901.3939589999702,901.3939589999702,0.0,65536,1.0,100.0
2,453.295907,447.8881690000054,450.58285000000564,453.27753100000587,0.5980434008973481,65536,1.9886104883801652,99.43052441900826
4,232.380967,224.9871770000003,228.50573025000014,232.37098399999903,1.6915347137115757,65536,3.879099939368098,96.97749848420246
8,327.72196299999996,127.73286599999972,229.2788179999967,327.69701200000026,42.92511399810381,630784,2.750590734744257,34.38238418430321
16,200.630978,61.76548200000004,104.85099206249981,193.5619659999993,84.60670919033409,557056,4.492970148408488,28.081063427553048
32,160.323554,28.227914999999985,55.68982831249997,117.34061799999971,110.703860212228,581632,5.622561205198831,17.570503766246347
64,121.146812,13.601538999999985,34.29316410937504,78.01206100000012,127.48574832928068,424960,7.4407983183247115,11.626247372382362
128,86.252596,11.878982000000004,25.936370421875004,51.88496500000002,100.04713132967788,443392,10.451036105626317,8.16487195752056
