Source,PublishedCost,ReevaluatedCost,Feasible,Reason,Time,Pump,SW
Costa et al. (2016),3916.98,3916.983905,True,NONE,425.00,P1,2
Costa et al. (2016),3916.98,3916.983905,True,NONE,425.00,P2,2
Costa et al. (2016),3916.98,3916.983905,True,NONE,425.00,P3,2
Cimorelli et al. (2020),3634.67,0.000000,False,ACTUATIONS,663.00,P1,4
Cimorelli et al. (2020),3634.67,0.000000,False,ACTUATIONS,663.00,P2,2
Cimorelli et al. (2020),3634.67,0.000000,False,ACTUATIONS,663.00,P3,4
De Paola et al. (2025),3911.52,3911.482544,True,NONE,72.00,P1,2
De Paola et al. (2025),3911.52,3911.482544,True,NONE,72.00,P2,2
De Paola et al. (2025),3911.52,3911.482544,True,NONE,72.00,P3,2
EPANET-BB,3900.25,3900.247498,True,NONE,1.58,P1,2
EPANET-BB,3900.25,3900.247498,True,NONE,1.58,P2,2
EPANET-BB,3900.25,3900.247498,True,NONE,1.58,P3,2
Costa et al. (2016),3618.59,3618.595780,True,NONE,36914.00,P1,4
Costa et al. (2016),3618.59,3618.595780,True,NONE,36914.00,P2,4
Costa et al. (2016),3618.59,3618.595780,True,NONE,36914.00,P3,4
Cimorelli et al. (2020),3580.11,0.000000,False,ACTUATIONS,663.00,P1,6
Cimorelli et al. (2020),3580.11,0.000000,False,ACTUATIONS,663.00,P2,4
Cimorelli et al. (2020),3580.11,0.000000,False,ACTUATIONS,663.00,P3,4
De Paola et al. (2025),3606.22,3325.845311,False,TANK_SATURATION,904.00,P1,4
De Paola et al. (2025),3606.22,3325.845311,False,TANK_SATURATION,904.00,P2,4
De Paola et al. (2025),3606.22,3325.845311,False,TANK_SATURATION,904.00,P3,2
EPANET-BB,3606.83,3606.828629,True,NONE,25.06,P1,4
EPANET-BB,3606.83,3606.828629,True,NONE,25.06,P2,4
EPANET-BB,3606.83,3606.828629,True,NONE,25.06,P3,4
Costa et al. (2016),3578.67,3578.671757,True,NONE,292032.00,P1,6
Costa et al. (2016),3578.67,3578.671757,True,NONE,292032.00,P2,6
Costa et al. (2016),3578.67,3578.671757,True,NONE,292032.00,P3,4
Cimorelli et al. (2020),3575.54,0.000000,False,ACTUATIONS,663.00,P1,8
Cimorelli et al. (2020),3575.54,0.000000,False,ACTUATIONS,663.00,P2,8
Cimorelli et al. (2020),3575.54,0.000000,False,ACTUATIONS,663.00,P3,6
De Paola et al. (2025),3577.40,3325.112096,False,TANK_SATURATION,960.00,P1,6
De Paola et al. (2025),3577.40,3325.112096,False,TANK_SATURATION,960.00,P2,6
De Paola et al. (2025),3577.40,3325.112096,False,TANK_SATURATION,960.00,P3,4
EPANET-BB,3575.54,3575.538064,True,NONE,408.95,P1,6
EPANET-BB,3575.54,3575.538064,True,NONE,408.95,P2,6
EPANET-BB,3575.54,3575.538064,True,NONE,408.95,P3,6
