actuations,accuracy_id,accuracy,records,hydraulic_converged,feasible,paired_complete_traces,cost_median,cost_range,hydraulic_seconds_median,launcher_seconds_median,trials_total_median,hydraulic_slowdown_vs_1e-4_median,launcher_slowdown_vs_1e-4_median,max_cost_delta_vs_1e-4,max_pressure_delta_vs_1e-4,max_flow_delta_vs_1e-4,max_tank_level_delta_vs_1e-4
1,1e-3,0.001,5,5,5,5,3900.2478343202824,0.0,0.0008487649999999998,0.4151621609926224,283.0,0.9309758044241271,0.9998774044185148,0.0003364786630299932,0.0005564951837797594,0.6465756684908321,6.84791763916337e-05
1,1e-4,0.0001,5,5,5,5,3900.2474978416194,0.0,0.000925439,0.41551928222179413,309.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1e-7,1e-07,5,5,5,5,3900.2474965132546,0.0,0.001033701,0.41531684808433056,361.0,1.1310298187774535,1.0000719576421981,1.3283647604112048e-06,2.0983022324116973e-06,0.003002177043243015,9.591153116161877e-07
2,1e-3,0.001,5,5,5,5,3606.8285592879156,0.0,0.0008211370000000001,0.4654051549732685,273.0,0.9257317246401976,0.9996459865793843,6.958494805076043e-05,0.0008076450040306327,0.33549690142764543,0.00023621809513940661
2,1e-4,0.0001,5,5,5,5,3606.8286288728636,0.0,0.0008836160000000002,0.46538832830265164,300.0,1.0,1.0,0.0,0.0,0.0,0.0
2,1e-7,1e-07,5,5,5,5,3606.828630586262,0.0,0.0010104810000000001,0.4654870694503188,352.0,1.1473669915011966,1.0000628288286886,1.7133984329120722e-06,7.061306931177569e-06,0.007826326201647582,8.783274836332566e-07
3,1e-3,0.001,5,5,5,5,3575.5380081686785,0.0,0.0007714010000000001,0.4153021308593452,255.0,0.9272893241344095,1.0000265537305497,5.5871691984066274e-05,0.00018261260773044796,0.1528764521422883,5.197242091981025e-05
3,1e-4,0.0001,5,5,5,5,3575.5380640403705,0.0,0.000830387,0.4152555651962757,279.0,1.0,1.0,0.0,0.0,0.0,0.0
3,1e-7,1e-07,5,5,5,5,3575.5380659608068,0.0,0.0009495770000000001,0.4153269180096686,328.0,1.1388511778308814,0.9995577971534286,1.9204362615710124e-06,6.3859961230150475e-06,0.007092985461239154,8.783274836332566e-07
