variant,configuration,candidate_assignments_median,load_imbalance_factor_median,paired_slowdown_maximum,paired_slowdown_median,paired_slowdown_minimum,wall_seconds_maximum,wall_seconds_median,wall_seconds_minimum,global_best_cost
baseline,All features,2727248624,0.4927449175267464,1.0,1.0,1.0,436.1380685600452,433.0763696357608,431.1286457721144,3575.5380640403023
no-cost-pruning,No cost pruning,35455425760,0.77507188611581,26.909166977489733,26.856057463894903,25.9667204379911,11736.112112122122,11578.415685187094,11245.573018631898,3575.5380640403023
no-snapshots,No snapshots,2724315159,0.4136003317572467,9.888759823350036,9.601364554994477,9.511170920067054,4312.864609810058,4139.4232981591485,4119.0633730478585,3575.5380640403023
no-task-shuffle,No task shuffling,2851424950,7.012481439045267,5.912005814715562,5.835274357795397,5.81310751461749,2548.8350606951863,2535.317483757157,2527.119434702676,3575.5380640403023
no-global-sync,No global synchronization,2746913804,0.5081482528798681,1.0288157210219728,1.0275007044443827,1.0059633784378912,444.9862748789601,443.5519285532646,438.73892491403967,3575.5380640403023
